DataSource,Area,DatasetType,Period,Season,VariableName,VariableUnit,VariableValue
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,8.6
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Su,sea surface temperature,°C,12.2
ODAT,07. ORKNEY ISLANDS             ,Climatological Average,1981-2010,Au,sea surface temperature,°C,10.8
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,7.9
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,8.9
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Su,sea surface temperature,°C,12
ODAT,08. SHETLAND ISLES             ,Climatological Average,1981-2010,Au,sea surface temperature,°C,10.3
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,6.2
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,9.2
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Su,sea surface temperature,°C,13
ODAT,09. MORAY FIRTH                ,Climatological Average,1981-2010,Au,sea surface temperature,°C,10.3
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,6.4
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,8.6
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Su,sea surface temperature,°C,12.7
ODAT,10. NORTH EAST                 ,Climatological Average,1981-2010,Au,sea surface temperature,°C,10.7
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Wi,sea surface temperature,°C,6.3
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Sp,sea surface temperature,°C,8.5
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Su,sea surface temperature,°C,13.2
ODAT,11. FORTH AND TAY              ,Climatological Average,1981-2010,Au,sea surface temperature,°C,10.2
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,8.2
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Decadal Average,2006-2015,Au,sea surface temperature,°C,11.7
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,8.5
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,7.8
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,9
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Su,sea surface temperature,°C,12.4
ODAT,07. ORKNEY ISLANDS             ,Decadal Average,2006-2015,Au,sea surface temperature,°C,11.1
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Su,sea surface temperature,°C,12.2
ODAT,08. SHETLAND ISLES             ,Decadal Average,2006-2015,Au,sea surface temperature,°C,10.5
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,6.3
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Su,sea surface temperature,°C,12.9
ODAT,10. NORTH EAST                 ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Wi,sea surface temperature,°C,6.3
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Sp,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Su,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Decadal Average,2006-2015,Au,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Wi,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Sp,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Su,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2015,Au,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,02. CLYDE                      ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,03. ARGYLL                     ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,04. WEST HIGHLANDS             ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,05. OUTER HEBRIDES             ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,06. NORTH COAST                ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Wi,sea surface temperature,°C,7.7
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,07. ORKNEY ISLANDS             ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,08. SHETLAND ISLES             ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Wi,sea surface temperature,°C,6.5
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,09. MORAY FIRTH                ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,10. NORTH EAST                 ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Wi,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Sp,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Su,sea surface temperature,°C,-99
ODAT,11. FORTH AND TAY              ,Data for Year,2016,Au,sea surface temperature,°C,-99
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,7.6
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8.1
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,12.3
ODAT,01. SOLWAY                     ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,11.5
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,7.5
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11.7
ODAT,02. CLYDE                      ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,11.4
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,8.5
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8.8
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11.4
ODAT,03. ARGYLL                     ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,11.6
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,8.2
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8.5
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11
ODAT,04. WEST HIGHLANDS             ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,11.5
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,8.5
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8.8
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,10.4
ODAT,05. OUTER HEBRIDES             ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,11.2
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,7.8
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8.3
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11.4
ODAT,06. NORTH COAST                ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,11.3
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,7.4
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8.3
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11.6
ODAT,07. ORKNEY ISLANDS             ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,10.7
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,7.7
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,8.1
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,10.3
ODAT,08. SHETLAND ISLES             ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,10.1
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,6.4
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,7.5
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11.2
ODAT,09. MORAY FIRTH                ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,10.2
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,6.3
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,7.5
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11.4
ODAT,10. NORTH EAST                 ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,10.7
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Wi,sea bottom temperature,°C,6.3
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Sp,sea bottom temperature,°C,7.1
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Su,sea bottom temperature,°C,11.4
ODAT,11. FORTH AND TAY              ,Dataset Average,1971-2016,Au,sea bottom temperature,°C,10.3
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,8
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,-99
ODAT,01. SOLWAY                     ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,8
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,-99
ODAT,02. CLYDE                      ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,11.5
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,8.5
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,8.9
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,11.6
ODAT,03. ARGYLL                     ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,11.5
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,8.3
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,8.6
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,11
ODAT,04. WEST HIGHLANDS             ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,11.5
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,8.5
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Sp,sea bottom temperature,°C,8.8
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Su,sea bottom temperature,°C,10.5
ODAT,05. OUTER HEBRIDES             ,Climatological Average,1981-2010,Au,sea bottom temperature,°C,11.3
ODAT,06. NORTH COAST                ,Climatological Average,1981-2010,Wi,sea bottom temperature,°C,-99
